region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Acadia Parish,Louisiana,30.4807649,30.0541375,-92.1418978,-92.6297926,30.28073533435614,-92.3557857190137,1087.1499999999999,362.0,1.2958521032001404,81.7155756207675,3474.0,6970.0,4533.0,5398.0,15469.0,56.0,35844.0,14.0,8961.0,999566.0636047364,2387640.4242187496,1415126.538952637,1684957.9530029297,5161133.271990967,18059.321215820313,1.1648424251770025E7,"[[0,62],[5,66],[10,60],[15,59],[20,39],[25,19],[30,17],[35,10],[40,8],[45,3],[50,1],[55,1],[60,2],[65,2],[70,1],[80,1],[85,1],[100,1],[140,1],[235,1],[270,1],[275,1],[300,1],[315,1],[390,1],[470,1],[555,1]]",7793.977691865678,0.0
Ada County,Idaho,43.805558,43.1466872,-115.9987894,-116.513522,43.61310872018676,-116.31175797565675,1156.85,133937.0,86.15120334743574,90.2248598835956,183489.0,2932039.0,1517496.0,2190026.0,3271407.0,50.0,1.0094457E7,12.5,2523614.25,5.38723881824097E7,1.0556324178305113E9,4.744878196817076E8,7.089168816806638E8,1.091174934987424E9,16631.278881835937,3.3840844423627157E9,"[[0,12980],[5,32607],[10,38390],[15,24736],[20,11402],[25,4809],[30,2259],[35,1170],[40,755],[45,567],[50,409],[55,324],[60,276],[65,233],[70,202],[75,169],[80,138],[85,127],[90,127],[95,130],[100,111],[105,102],[110,74],[115,85],[120,72],[125,56],[130,78],[135,75],[140,58],[145,63],[150,51],[155,50],[160,30],[165,34],[170,40],[175,33],[180,36],[185,35],[190,28],[195,34],[200,31],[205,31],[210,25],[215,17],[220,18],[225,26],[230,23],[235,22],[240,15],[245,20],[250,20],[255,27],[260,18],[265,19],[270,6],[275,15],[280,23],[285,19],[290,16],[295,15],[300,12],[305,10],[310,19],[315,16],[320,11],[325,10],[330,8],[335,15],[340,8],[345,14],[350,13],[355,11],[360,10],[365,4],[370,5],[375,12],[380,5],[385,5],[390,7],[395,9],[400,7],[405,4],[410,7],[415,4],[420,11],[425,4],[430,5],[435,5],[440,3],[445,3],[450,3],[455,5],[460,5],[465,3],[470,1],[475,3],[480,4],[485,9],[490,3],[495,5],[500,2],[505,3],[510,3],[515,2],[520,1],[525,3],[530,4],[535,6],[540,1],[545,3],[550,3],[555,3],[565,6],[570,1],[575,3],[580,2],[585,3],[590,5],[595,3],[600,3],[605,4],[610,7],[615,4],[625,5],[630,3],[635,5],[640,2],[645,2],[660,1],[665,2],[670,4],[675,2],[680,1],[685,2],[690,2],[695,1],[700,3],[705,3],[710,1],[715,2],[720,2],[735,3],[745,2],[750,4],[760,3],[770,2],[775,4],[780,1],[785,3],[790,2],[795,3],[800,3],[805,1],[810,4],[815,2],[820,1],[825,1],[835,1],[840,4],[850,1],[855,1],[860,1],[865,2],[870,3],[875,2],[880,1],[890,2],[900,1],[910,1],[915,1],[925,1],[930,2],[935,3],[950,2],[955,1],[960,2],[965,1],[975,1],[985,1],[990,2],[1000,2],[1005,1],[1010,1],[1035,1],[1050,1],[1060,1],[1065,2],[1070,1],[1080,2],[1085,1],[1090,2],[1100,1],[1105,2],[1120,1],[1130,1],[1135,2],[1150,2],[1185,1],[1210,1],[1215,1],[1220,1],[1235,2],[1265,1],[1270,1],[1305,2],[1315,1],[1320,1],[1325,1],[1360,1],[1365,1],[1370,1],[1385,1],[1410,1],[1425,1],[1435,1],[1445,1],[1450,1],[1455,2],[1465,2],[1475,1],[1490,1],[1540,1],[1555,3],[1625,1],[1640,2],[1645,1],[1670,1],[1750,1],[1805,1],[1840,1],[1855,1],[1865,1],[1890,1],[1900,1],[1920,2],[1950,1],[1995,2],[2040,1],[2075,1],[2130,1],[2270,1],[2310,1],[2350,1],[2355,1],[2450,1],[2635,1],[2715,1],[3680,1]]",899856.2879229995,333.0
Adams County,Colorado,40.0007327,39.738577,-103.7231471,-105.0529788,39.87942067477472,-104.91829710777807,1246.1,117399.0,92.90361429105356,87.46172585655857,58739.0,1859303.0,1050680.0,1205016.0,3999846.0,32.0,8173584.0,8.0,2043396.0,1.8269398569104005E7,7.158678638363831E8,3.635471579234924E8,4.0207927316597885E8,1.415315722767406E9,11511.44375,2.9150794162623677E9,"[[0,24956],[5,49919],[10,23209],[15,8129],[20,3333],[25,1589],[30,1009],[35,635],[40,502],[45,377],[50,309],[55,268],[60,224],[65,209],[70,190],[75,129],[80,137],[85,98],[90,91],[95,82],[100,73],[105,73],[110,73],[115,52],[120,50],[125,60],[130,63],[135,42],[140,63],[145,41],[150,45],[155,40],[160,43],[165,30],[170,30],[175,29],[180,23],[185,24],[190,35],[195,25],[200,22],[205,20],[210,24],[215,22],[220,21],[225,19],[230,4],[235,24],[240,14],[245,20],[250,6],[255,16],[260,17],[265,9],[270,20],[275,12],[280,11],[285,13],[290,14],[295,11],[300,11],[305,10],[310,15],[315,14],[320,17],[325,16],[330,6],[335,8],[340,9],[345,8],[350,10],[355,10],[360,7],[365,8],[370,11],[375,8],[380,9],[385,10],[390,12],[395,9],[400,6],[405,11],[410,6],[415,5],[420,6],[425,7],[430,9],[435,3],[440,5],[445,1],[450,2],[455,7],[460,5],[465,8],[470,5],[475,3],[480,11],[485,3],[490,3],[495,3],[500,6],[505,7],[510,2],[515,6],[520,6],[525,6],[530,3],[535,4],[540,6],[545,2],[550,6],[555,7],[560,3],[565,2],[570,3],[575,5],[585,3],[590,2],[595,5],[600,3],[605,1],[610,2],[615,3],[620,5],[625,2],[630,1],[635,2],[640,3],[655,5],[660,4],[665,3],[670,6],[680,3],[685,3],[695,2],[700,3],[705,1],[710,2],[715,2],[720,1],[725,3],[730,3],[735,3],[740,4],[745,3],[750,8],[755,1],[760,3],[765,2],[770,4],[775,1],[780,4],[785,1],[790,4],[795,2],[800,5],[805,2],[810,1],[815,6],[820,2],[825,3],[830,4],[840,3],[845,2],[850,1],[855,2],[860,2],[865,3],[870,1],[875,3],[880,3],[890,4],[895,2],[900,3],[905,4],[910,1],[915,1],[920,2],[930,2],[935,2],[940,1],[945,3],[965,1],[970,1],[980,1],[985,2],[995,2],[1000,1],[1005,1],[1010,2],[1015,1],[1025,2],[1035,1],[1045,1],[1050,1],[1055,1],[1065,2],[1070,1],[1090,3],[1095,1],[1100,1],[1110,2],[1120,1],[1130,1],[1135,1],[1140,2],[1150,1],[1155,2],[1160,2],[1165,2],[1170,3],[1175,1],[1180,1],[1185,1],[1190,1],[1210,1],[1215,1],[1220,2],[1225,2],[1230,1],[1235,2],[1250,2],[1255,1],[1265,1],[1270,1],[1280,2],[1285,1],[1290,4],[1295,2],[1310,2],[1330,1],[1335,1],[1345,2],[1350,1],[1355,1],[1360,2],[1370,1],[1375,2],[1380,1],[1385,2],[1400,1],[1405,2],[1410,1],[1420,1],[1425,1],[1435,1],[1450,1],[1470,1],[1475,2],[1480,1],[1485,1],[1495,4],[1510,1],[1520,1],[1525,1],[1545,2],[1555,2],[1565,1],[1570,2],[1580,1],[1590,1],[1595,1],[1620,1],[1625,1],[1650,1],[1670,1],[1685,1],[1710,1],[1720,1],[1745,2],[1750,1],[1760,3],[1765,1],[1770,2],[1780,1],[1810,1],[1815,1],[1825,1],[1845,1],[1860,2],[1875,2],[1880,1],[1885,1],[1920,2],[1930,1],[1935,1],[1960,1],[1995,2],[2000,2],[2010,1],[2020,1],[2025,1],[2030,1],[2040,1],[2050,1],[2060,1],[2070,1],[2080,1],[2095,1],[2140,1],[2200,1],[2240,1],[2265,1],[2280,1],[2320,1],[2405,1],[2425,1],[2480,1],[2490,1],[2550,1],[2565,1],[2580,1],[2600,1],[2635,1],[2695,1],[2705,1],[2730,1],[2755,1],[2825,1],[2900,1],[2945,1],[3025,1],[3060,1],[3115,1],[3220,1],[3285,1],[3400,1],[3570,1],[3665,1],[3775,1],[3880,1],[3965,1],[4125,1],[4150,1],[4300,1],[4945,1]]",1774944.4879080113,2223.0
Adams County,Pennsylvania,40.0687801,39.7200164,-76.9571609,-77.4641694,39.846869104808846,-77.15044570240264,997.05,4500.0,17.957709801742997,87.00696055684455,16651.0,70798.0,78169.0,68634.0,124005.0,41.0,358257.0,10.25,89564.25,4286321.477001953,2.2101729000231925E7,2.234452487714233E7,1.889155066695556E7,3.67281524918396E7,11940.525036621093,1.0435227851317137E8,"[[0,795],[5,1343],[10,877],[15,594],[20,305],[25,143],[30,85],[35,52],[40,30],[45,24],[50,27],[55,20],[60,21],[65,16],[70,19],[75,11],[80,10],[85,10],[90,9],[95,6],[100,6],[105,3],[110,10],[115,7],[120,3],[125,1],[130,1],[135,4],[140,2],[145,3],[150,2],[155,2],[160,3],[165,2],[170,2],[175,3],[180,4],[185,2],[205,4],[215,1],[225,2],[230,1],[235,2],[240,1],[245,1],[250,1],[255,1],[270,1],[275,1],[310,1],[315,1],[335,1],[340,1],[355,2],[365,1],[370,1],[380,1],[390,1],[400,1],[415,1],[430,1],[435,1],[510,1],[520,1],[530,1],[580,1],[595,1],[705,1],[710,1],[760,1],[775,1],[1025,1],[1125,1],[1195,1],[2035,1]]",66311.76480702961,0.0
Aiken County,South Carolina,33.8718001,33.2018889,-81.1935022,-82.0072261,33.52633951718049,-81.76446934499678,1093.95,49051.0,68.37072231911951,86.2966220971147,297265.0,984740.0,645255.0,693428.0,1047664.0,48.0,3668352.0,12.0,917088.0,8.50811798254517E7,3.2928651267526245E8,1.9730772640237424E8,2.1530194957661143E8,3.459475918012086E8,15252.523681640625,1.1729249602809088E9,"[[0,5920],[5,12846],[10,12402],[15,8113],[20,4332],[25,1952],[30,989],[35,512],[40,317],[45,234],[50,173],[55,129],[60,106],[65,91],[70,82],[75,63],[80,67],[85,31],[90,29],[95,32],[100,35],[105,17],[110,23],[115,33],[120,19],[125,25],[130,22],[135,10],[140,14],[145,20],[150,20],[155,12],[160,13],[165,17],[170,15],[175,13],[180,13],[185,5],[190,16],[195,11],[200,7],[205,7],[210,4],[215,8],[220,10],[225,6],[230,8],[235,3],[240,4],[245,3],[250,5],[255,2],[260,2],[265,6],[270,3],[275,4],[280,7],[285,4],[290,3],[295,3],[300,3],[305,6],[310,2],[315,3],[320,1],[325,3],[330,1],[335,3],[340,2],[345,2],[350,1],[360,1],[365,2],[370,4],[375,3],[380,3],[385,2],[395,2],[405,1],[415,2],[425,2],[430,2],[440,2],[450,1],[455,1],[460,1],[465,1],[470,1],[475,2],[480,2],[485,1],[490,1],[495,1],[500,1],[505,1],[515,1],[520,1],[525,2],[530,1],[535,3],[550,2],[555,1],[560,1],[570,1],[575,2],[580,2],[585,1],[595,1],[600,3],[610,1],[625,1],[630,2],[635,4],[640,2],[645,1],[650,1],[655,1],[665,3],[670,2],[695,1],[700,1],[705,2],[715,1],[735,1],[740,2],[755,1],[770,2],[785,1],[790,1],[795,1],[815,1],[865,2],[875,2],[880,1],[900,2],[915,2],[950,1],[985,1],[990,1],[1005,1],[1020,1],[1055,1],[1060,1],[1085,1],[1110,1],[1120,1],[1140,1],[1160,1],[1190,1],[1200,1],[1210,1],[1235,1],[1280,1],[1285,1],[1350,1],[1365,1],[1375,1],[1400,1],[1475,1],[1505,1],[1680,1],[1695,1],[1785,1],[1800,1],[1880,1],[1900,1],[1965,1],[2035,1],[2080,1],[2090,1],[2120,1],[2125,1],[2175,1],[2265,1],[2325,1],[2410,2],[2470,1],[2735,1],[3005,1],[3100,1],[3865,1],[4185,1],[6170,1]]",688561.4880840268,83.0
Alachua County,Florida,29.9369049,29.4175115,-82.0502802,-82.6577752,29.6734617145223,-82.39152869743566,1108.3999999999999,42833.0,77.90240185853641,68.67454425935131,349719.0,973293.0,610023.0,734622.0,1609341.0,55.0,4276998.0,13.75,1069249.5,1.0162660980880123E8,3.2772443938080454E8,1.8874278695126352E8,2.2866335569628295E8,5.396637490844057E8,17346.920153808594,1.3864209409215562E9,"[[0,5865],[5,9032],[10,8565],[15,6470],[20,3939],[25,2259],[30,1257],[35,865],[40,654],[45,502],[50,359],[55,313],[60,270],[65,281],[70,209],[75,188],[80,141],[85,118],[90,116],[95,113],[100,97],[105,75],[110,86],[115,72],[120,55],[125,46],[130,39],[135,51],[140,44],[145,37],[150,34],[155,33],[160,28],[165,22],[170,20],[175,21],[180,14],[185,18],[190,16],[195,25],[200,8],[205,15],[210,19],[215,17],[220,11],[225,7],[230,16],[235,16],[240,11],[245,7],[250,6],[255,9],[260,11],[265,8],[270,5],[275,6],[280,4],[285,9],[290,9],[295,4],[300,6],[305,10],[310,5],[315,7],[320,8],[325,8],[330,7],[335,2],[340,4],[345,3],[350,3],[355,3],[360,2],[365,3],[370,4],[375,1],[380,3],[385,3],[390,1],[395,4],[400,1],[405,4],[410,1],[415,1],[420,7],[425,3],[430,4],[435,2],[445,2],[450,4],[455,2],[460,6],[465,1],[470,4],[475,5],[480,2],[485,5],[490,5],[495,4],[500,3],[505,2],[510,2],[515,6],[520,1],[525,2],[535,2],[545,3],[555,2],[560,4],[565,1],[575,3],[580,1],[585,3],[595,2],[605,1],[610,2],[615,2],[620,2],[625,3],[630,1],[635,3],[640,2],[645,3],[660,1],[665,1],[670,3],[675,1],[685,1],[695,1],[700,1],[705,2],[725,3],[735,1],[760,1],[765,1],[770,1],[780,1],[790,1],[800,1],[805,1],[815,1],[825,1],[830,1],[835,1],[845,1],[865,2],[870,1],[880,1],[920,2],[935,2],[945,1],[950,1],[955,2],[960,1],[975,1],[985,1],[990,1],[1025,1],[1050,1],[1075,1],[1160,1],[1180,2],[1200,1],[1210,1],[1220,1],[1265,1],[1280,1],[1295,1],[1300,1],[1340,1],[1370,1],[1380,1],[1390,1],[1500,2],[1510,1],[1555,1],[1665,1],[1690,1],[1695,1],[1700,1],[1715,1],[1790,1],[1960,1],[1980,1],[2000,1],[2015,1],[2025,1],[2145,1],[2735,1],[2950,1],[3615,1],[4410,1]]",741070.4427243678,912.0
Alamance County,North Carolina,36.2495835,35.843793,-79.2482426,-79.5418374,36.07037764099496,-79.41285796250129,1081.2,26057.0,41.93413922467695,80.94247017892644,83130.0,437663.0,306755.0,345764.0,1162313.0,38.0,2335625.0,9.5,583906.25,2.317810482045899E7,1.4593697921240234E8,9.210220229452516E7,1.0489856556745602E8,3.760344258453674E8,11997.408734130859,7.421502777402103E8,"[[0,4770],[5,8772],[10,5500],[15,2742],[20,1299],[25,642],[30,342],[35,264],[40,195],[45,144],[50,104],[55,89],[60,76],[65,65],[70,58],[75,57],[80,51],[85,51],[90,47],[95,52],[100,44],[105,27],[110,41],[115,26],[120,27],[125,19],[130,27],[135,15],[140,17],[145,20],[150,20],[155,6],[160,16],[165,12],[170,10],[175,10],[180,20],[185,10],[190,7],[195,6],[200,9],[205,13],[210,8],[215,7],[220,6],[225,9],[230,4],[235,9],[240,8],[245,10],[250,5],[255,3],[260,7],[265,2],[270,7],[275,2],[280,4],[285,10],[290,1],[295,3],[300,2],[305,4],[310,3],[315,1],[320,2],[325,5],[330,7],[335,3],[340,2],[345,3],[350,3],[355,3],[360,2],[365,3],[370,2],[375,6],[380,3],[385,1],[390,5],[395,6],[400,4],[405,1],[410,1],[415,2],[420,2],[425,4],[430,5],[435,1],[455,2],[465,3],[470,4],[475,2],[480,4],[485,3],[490,4],[500,1],[505,3],[515,2],[520,3],[525,1],[530,1],[535,1],[540,1],[545,2],[555,1],[560,3],[565,1],[570,1],[575,2],[580,1],[585,2],[590,1],[600,1],[620,1],[625,1],[630,1],[640,1],[645,1],[665,1],[670,2],[675,2],[685,1],[690,1],[695,2],[700,1],[735,1],[740,1],[745,1],[750,1],[755,1],[760,1],[765,1],[785,1],[790,2],[800,2],[910,1],[930,1],[935,1],[940,1],[965,2],[975,1],[985,1],[1005,1],[1010,3],[1015,1],[1020,1],[1030,1],[1050,1],[1055,1],[1060,1],[1070,1],[1085,1],[1120,1],[1125,2],[1160,1],[1230,1],[1240,1],[1245,1],[1255,1],[1260,1],[1305,1],[1310,1],[1320,1],[1350,1],[1375,1],[1390,1],[1450,1],[1470,1],[1495,1],[1500,1],[1530,1],[1545,1],[1550,1],[1570,1],[1600,1],[1610,1],[1655,1],[1680,1],[1705,1],[1735,1],[1760,1],[1905,1],[1910,1],[1935,1],[1995,1],[2010,1],[2055,1],[2075,1],[2080,2],[2160,1],[2190,1],[2315,1],[2470,1],[2575,1],[3270,1],[3430,1],[3770,1]]",435676.7201035507,16.0
Alameda County,California,37.905009,37.4568076,-121.4861979,-122.3395586,37.70448805291392,-122.08647213089147,1229.95,372309.0,96.5853384083993,94.29435437914887,2464697.0,5839298.0,4441471.0,5359395.0,1.2794692E7,49.0,3.0899553E7,12.25,7724888.25,7.842750278424991E8,2.233938390774206E9,1.5119398990240922E9,1.9122883143661976E9,4.657259608853238E9,17568.44766845703,1.1099701240860233E10,"[[0,41995],[5,99875],[10,87007],[15,66149],[20,35464],[25,13516],[30,6122],[35,3433],[40,2310],[45,1676],[50,1264],[55,1096],[60,867],[65,796],[70,701],[75,579],[80,492],[85,469],[90,422],[95,411],[100,344],[105,328],[110,291],[115,305],[120,251],[125,233],[130,229],[135,207],[140,185],[145,194],[150,159],[155,162],[160,154],[165,166],[170,148],[175,163],[180,121],[185,119],[190,117],[195,102],[200,90],[205,102],[210,117],[215,91],[220,80],[225,101],[230,82],[235,63],[240,68],[245,49],[250,65],[255,69],[260,50],[265,59],[270,56],[275,59],[280,58],[285,47],[290,53],[295,51],[300,51],[305,42],[310,59],[315,53],[320,31],[325,33],[330,47],[335,39],[340,27],[345,34],[350,37],[355,30],[360,36],[365,34],[370,38],[375,29],[380,26],[385,41],[390,24],[395,35],[400,22],[405,23],[410,15],[415,21],[420,15],[425,18],[430,25],[435,25],[440,25],[445,22],[450,19],[455,16],[460,19],[465,18],[470,11],[475,20],[480,17],[485,10],[490,10],[495,11],[500,12],[505,14],[510,11],[515,16],[520,13],[525,13],[530,14],[535,15],[540,12],[545,10],[550,13],[555,10],[560,12],[565,11],[570,18],[575,16],[580,12],[585,11],[590,12],[595,11],[600,7],[605,10],[610,13],[615,15],[620,14],[625,6],[630,12],[635,8],[640,8],[645,14],[650,3],[655,4],[660,10],[665,10],[670,6],[675,5],[680,13],[685,8],[690,15],[695,9],[700,3],[705,8],[710,12],[715,10],[720,10],[725,7],[730,6],[735,5],[740,4],[745,6],[750,6],[755,8],[760,4],[765,6],[770,12],[775,8],[780,8],[785,7],[790,3],[795,6],[800,12],[805,6],[810,5],[815,8],[820,5],[825,4],[830,6],[835,10],[840,3],[845,11],[850,8],[855,2],[860,6],[865,3],[870,4],[875,3],[880,6],[885,4],[890,2],[895,8],[900,3],[905,5],[910,7],[915,6],[920,1],[925,6],[930,12],[935,2],[940,8],[945,5],[950,2],[955,1],[960,3],[965,3],[970,1],[975,4],[985,2],[990,3],[995,6],[1000,2],[1005,1],[1010,2],[1015,4],[1020,7],[1025,6],[1030,5],[1035,2],[1040,3],[1045,1],[1050,2],[1055,1],[1060,3],[1065,3],[1070,4],[1075,3],[1080,2],[1085,3],[1090,1],[1095,3],[1100,1],[1105,2],[1110,4],[1115,3],[1120,4],[1125,2],[1130,3],[1135,1],[1140,1],[1145,2],[1150,1],[1155,1],[1160,2],[1165,3],[1170,1],[1175,3],[1180,3],[1185,6],[1190,2],[1195,2],[1200,3],[1205,2],[1210,1],[1220,2],[1225,4],[1230,1],[1235,2],[1240,2],[1245,3],[1250,1],[1255,1],[1260,4],[1265,2],[1270,2],[1275,2],[1285,5],[1290,2],[1295,2],[1300,2],[1310,2],[1320,3],[1325,3],[1330,2],[1335,1],[1340,2],[1345,3],[1355,1],[1360,1],[1365,2],[1370,2],[1375,4],[1380,3],[1385,1],[1390,2],[1395,1],[1405,1],[1410,2],[1415,2],[1420,1],[1425,1],[1430,3],[1435,1],[1440,3],[1450,1],[1460,4],[1465,1],[1470,1],[1475,1],[1480,3],[1485,1],[1490,1],[1505,1],[1510,2],[1520,2],[1530,1],[1535,2],[1540,3],[1545,1],[1550,2],[1555,1],[1560,1],[1565,2],[1575,4],[1580,2],[1590,2],[1595,2],[1605,1],[1610,2],[1615,1],[1635,1],[1640,1],[1645,2],[1650,3],[1655,1],[1665,2],[1675,3],[1685,2],[1690,1],[1695,2],[1700,2],[1705,1],[1715,1],[1720,2],[1725,3],[1730,2],[1745,1],[1750,1],[1760,2],[1765,1],[1770,3],[1775,2],[1785,2],[1795,1],[1800,2],[1805,2],[1825,1],[1830,3],[1845,1],[1855,1],[1860,1],[1870,4],[1880,1],[1890,1],[1900,1],[1955,1],[1970,1],[1990,1],[1995,1],[2005,1],[2030,1],[2035,1],[2045,1],[2050,1],[2060,2],[2065,3],[2070,1],[2075,1],[2085,2],[2100,1],[2120,1],[2135,2],[2140,1],[2145,1],[2150,1],[2165,1],[2180,1],[2185,2],[2200,2],[2245,2],[2285,1],[2305,1],[2325,1],[2345,1],[2355,1],[2375,1],[2390,1],[2420,1],[2425,1],[2490,2],[2500,2],[2510,1],[2525,2],[2585,1],[2590,2],[2635,1],[2675,1],[2690,1],[2705,1],[2715,1],[2720,1],[2725,1],[2730,1],[2750,1],[2820,1],[2830,1],[2835,1],[2840,2],[2880,1],[2900,1],[2910,1],[2930,1],[2950,1],[2960,1],[3005,1],[3055,1],[3070,1],[3100,1],[3160,1],[3190,1],[3195,1],[3205,1],[3210,2],[3225,1],[3320,1],[3395,1],[3665,1],[3910,1],[4025,1]]",3025442.221978842,14127.0
Albany County,New York,42.8201494,42.4088111,-73.6804081,-74.2641265,42.68280133395059,-73.81929465630441,961.35,73592.0,90.31626139077044,79.41382770937422,112549.0,1127695.0,777300.0,629049.0,3537249.0,33.0,6183842.0,8.25,1545960.5,2.7802960770147707E7,3.282362980735841E8,2.1022815767698663E8,1.6705487078959665E8,1.002418798727707E9,9199.601049804687,1.7357410860380225E9,"[[0,16508],[5,28561],[10,14802],[15,5251],[20,2149],[25,1069],[30,643],[35,435],[40,366],[45,304],[50,237],[55,205],[60,179],[65,169],[70,150],[75,120],[80,95],[85,113],[90,89],[95,73],[100,71],[105,87],[110,79],[115,81],[120,60],[125,53],[130,55],[135,56],[140,42],[145,58],[150,34],[155,38],[160,48],[165,46],[170,37],[175,33],[180,35],[185,27],[190,25],[195,19],[200,28],[205,18],[210,20],[215,17],[220,29],[225,14],[230,26],[235,20],[240,26],[245,23],[250,17],[255,24],[260,22],[265,13],[270,20],[275,14],[280,14],[285,12],[290,9],[295,12],[300,17],[305,14],[310,15],[315,14],[320,13],[325,18],[330,10],[335,15],[340,6],[345,23],[350,9],[355,7],[360,6],[365,12],[370,6],[375,10],[380,7],[385,7],[390,7],[395,5],[400,5],[405,7],[410,5],[415,10],[420,2],[425,9],[430,5],[435,3],[440,4],[445,11],[450,7],[455,2],[460,3],[465,1],[470,7],[475,7],[480,3],[485,7],[490,5],[495,5],[500,3],[505,6],[510,8],[515,3],[520,3],[525,3],[530,4],[540,5],[545,7],[550,5],[555,4],[560,4],[565,5],[570,5],[575,3],[580,5],[585,3],[590,3],[595,3],[605,2],[610,4],[615,5],[620,2],[625,2],[630,2],[635,4],[640,2],[645,2],[650,1],[655,6],[660,3],[665,1],[670,2],[675,1],[680,4],[685,2],[695,1],[700,5],[710,1],[715,7],[720,5],[725,2],[730,4],[735,2],[745,1],[760,1],[765,3],[770,4],[775,2],[790,2],[795,4],[800,1],[805,1],[815,2],[820,2],[825,2],[830,3],[835,2],[840,3],[845,2],[850,2],[855,1],[860,1],[865,3],[870,2],[880,1],[885,2],[895,1],[900,1],[905,3],[910,1],[915,2],[920,1],[925,2],[930,1],[935,2],[940,1],[945,1],[970,1],[980,1],[985,2],[990,2],[1005,2],[1015,2],[1020,1],[1030,1],[1035,1],[1045,1],[1055,2],[1060,2],[1065,3],[1075,1],[1080,2],[1085,4],[1095,1],[1100,1],[1105,2],[1125,1],[1130,1],[1135,1],[1140,1],[1145,1],[1160,2],[1165,1],[1170,3],[1175,1],[1180,2],[1185,1],[1195,1],[1200,3],[1210,1],[1220,1],[1230,1],[1235,2],[1250,1],[1270,1],[1275,1],[1280,1],[1285,1],[1295,1],[1300,2],[1325,1],[1365,1],[1370,2],[1390,1],[1400,1],[1405,1],[1415,1],[1435,2],[1440,1],[1450,1],[1470,2],[1485,2],[1495,1],[1500,1],[1510,1],[1525,1],[1535,1],[1545,1],[1555,1],[1560,1],[1565,2],[1570,1],[1575,1],[1580,1],[1585,1],[1595,1],[1600,1],[1605,1],[1610,1],[1630,2],[1660,1],[1665,1],[1675,2],[1695,1],[1710,1],[1720,1],[1730,1],[1735,1],[1740,1],[1745,1],[1750,1],[1755,2],[1760,1],[1765,3],[1775,2],[1790,1],[1800,2],[1805,1],[1815,1],[1820,1],[1825,2],[1850,1],[1855,1],[1865,1],[1960,1],[1965,1],[1990,2],[1995,1],[2015,1],[2035,1],[2070,2],[2080,1],[2120,1],[2145,1],[2165,1],[2200,1],[2220,1],[2240,1],[2355,1],[2400,1],[2405,1],[2470,1],[2520,1],[2585,1],[2650,1],[2875,1],[2890,1],[2985,1],[3030,1],[3100,1],[3155,1],[3345,1],[3390,1],[3775,1],[3940,1],[3980,1],[4645,1]]",634272.2774437538,577.0
Albemarle County,Virginia,38.2631391,37.725258,-78.2098846,-78.8370146,38.050712084658954,-78.52452646557136,1048.8999999999999,10991.0,39.81328669606128,68.0009899152385,29802.0,185852.0,148745.0,130742.0,436208.0,28.0,931349.0,7.0,232837.25,8023626.041815185,5.988735496892702E7,4.429902069998778E7,3.797444311689454E7,1.3596756879868165E8,8549.8578125,2.861520136263064E8,"[[0,3561],[5,3578],[10,1548],[15,606],[20,360],[25,219],[30,138],[35,99],[40,110],[45,91],[50,59],[55,47],[60,56],[65,30],[70,35],[75,39],[80,28],[85,31],[90,18],[95,17],[100,16],[105,12],[110,8],[115,12],[120,10],[125,13],[130,12],[135,13],[140,12],[145,10],[150,7],[155,6],[160,7],[165,5],[170,6],[175,8],[180,4],[185,5],[190,3],[195,3],[200,3],[205,5],[210,6],[215,2],[220,3],[225,3],[230,5],[235,1],[240,4],[245,3],[250,2],[255,5],[260,1],[265,1],[270,3],[275,1],[280,3],[285,1],[290,1],[295,1],[300,1],[305,1],[310,3],[315,3],[320,3],[325,2],[330,1],[340,1],[345,1],[350,3],[360,2],[365,1],[370,2],[390,3],[395,2],[400,1],[405,1],[415,1],[420,1],[450,1],[455,2],[465,1],[485,2],[500,2],[505,1],[510,1],[515,1],[525,1],[535,1],[550,1],[575,1],[580,1],[585,1],[590,2],[600,1],[645,1],[650,2],[670,1],[685,1],[690,2],[730,1],[740,2],[750,2],[785,2],[795,1],[805,2],[810,1],[840,2],[865,1],[890,1],[915,1],[1020,1],[1025,1],[1065,1],[1130,1],[1135,1],[1170,1],[1215,1],[1330,1],[1405,1],[1430,1],[1480,1],[1600,1],[1760,1],[1810,1],[1885,1],[2450,1],[2615,1],[3800,1],[4650,1]]",183038.56602370963,13.0
